feature,importance
cat__primary_genre_['dubstep',0.00033490347257245757
cat__primary_genre_['electro house'],0.0003256637597722336
cat__primary_genre_['classic rock'],0.0003195813865507231
cat__primary_genre_['bedroom pop',0.0003191788445882098
cat__primary_genre_['afro house'],0.00031830616940529017
cat__primary_genre_['progressive rock',0.0003088153706371487
cat__primary_genre_['rage rap'],0.00030750262113839975
cat__primary_genre_['neoclassical'],0.0003074902465509027
cat__primary_genre_['sea shanties',0.00029187244127173415
cat__primary_genre_['french pop'],0.0002884038729527312
cat__primary_genre_['aor',0.00028627091823302893
cat__primary_genre_['southern gothic',0.00025374456276242377
cat__primary_genre_['stutter house'],0.00025013197693939874
cat__primary_genre_['synthwave',0.00024541927790199273
cat__primary_genre_['post-grunge'],0.00024477596704510217
cat__primary_genre_['motown',0.00024254238787690198
cat__primary_genre_['french indie pop'],0.00023532740877214842
cat__primary_genre_['phonk'],0.00023460152824320067
cat__primary_genre_['punk',0.0002330127167447178
cat__primary_genre_['mahraganat',0.00023257777787740936
cat__primary_genre_['singer-songwriter'],0.0002325546411236699
cat__primary_genre_['exotica',0.00023233169394463172
cat__primary_genre_['acid house'],0.00022470699700147072
cat__primary_genre_['noise rock',0.00022068376895501723
cat__primary_genre_['brooklyn drill',0.00022035130860892027
cat__primary_genre_['arabic hip hop',0.00021977862318552644
cat__primary_genre_['baroque pop'],0.00021648516034923973
cat__primary_genre_['afrobeats',0.00021509423784483498
cat__primary_genre_['jazz rap',0.0002104116248166223
cat__primary_genre_['dub'],0.00021015371282874216
cat__primary_genre_['europop'],0.00020531914777213177
cat__primary_genre_['uk drill',0.00020423972519985147
cat__primary_genre_['orchestral'],0.00019789951782436685
cat__primary_genre_['brazilian bass',0.00019781170408566826
cat__primary_genre_['arabic hip hop'],0.00019758038617329247
cat__primary_genre_['french house',0.00019719300921303595
cat__primary_genre_['synthwave'],0.0001901166414457784
cat__primary_genre_['southern hip hop',0.00018619568038625968
cat__primary_genre_['lo-fi',0.00018573822516821314
cat__primary_genre_['corrido',0.0001853605932989276
cat__primary_genre_['indonesian r&b'],0.00018121773917270333
cat__primary_genre_['jazz',0.00017757297204327037
cat__primary_genre_['grime',0.00017374402924282613
cat__primary_genre_['argentine trap',0.00017200005629004682
cat__primary_genre_['breakcore'],0.00016981983508201516
cat__primary_genre_['yacht rock',0.00016724492900115187
cat__primary_genre_['alté'],0.0001588210179492469
cat__primary_genre_['afrobeats'],0.00015626436924683803
cat__primary_genre_['bolero',0.00015538114242483653
cat__primary_genre_['drum and bass'],0.0001488295626250703
cat__primary_genre_['synthpop',0.00014735774346884704
cat__primary_genre_['egyptian pop'],0.0001449800762559307
cat__primary_genre_['latin house',0.00014089284868682187
cat__primary_genre_['psychedelic rock',0.0001397608280628624
cat__primary_genre_['dancehall'],0.00013901103377716634
cat__primary_genre_['brazilian funk',0.00013645062335026844
cat__primary_genre_['uk garage'],0.0001360465828300264
cat__primary_genre_['alternative r&b'],0.0001332442681644465
cat__primary_genre_['edm trap'],0.00013293113304588562
cat__primary_genre_['pop rock'],0.00013042580637162427
cat__primary_genre_['jam band',0.00012840055086747807
cat__primary_genre_['shoegaze',0.00011849932726478655
cat__primary_genre_['reggae',0.00011753731677706086
cat__primary_genre_['trap soul'],0.00011737671001113692
cat__primary_genre_['corridos tumbados',0.00011676667030323823
cat__primary_genre_['gangster rap',0.00011670366815739745
cat__primary_genre_['new jack swing'],0.0001137852235203617
cat__primary_genre_['hypertechno',0.0001105892560194263
cat__primary_genre_['hard techno'],0.00011030782650181143
cat__primary_genre_['slap house',0.00010973639746509981
cat__primary_genre_['slowcore'],0.00010606575226730438
cat__primary_genre_['french house'],0.00010594832337703448
cat__primary_genre_['rock'],0.00010536498861038248
cat__primary_genre_['dream pop',0.00010245206568392862
cat__primary_genre_['dance pop'],0.00010196098445140109
cat__primary_genre_unknown,9.597985678822347e-05
cat__primary_genre_['west coast hip hop',9.583754064090551e-05
cat__primary_genre_['future bass',9.390209509460401e-05
cat__primary_genre_['folk rock'],9.174555976325139e-05
cat__primary_genre_['doo-wop'],9.080931741511588e-05
cat__primary_genre_['honky tonk',8.995613505856153e-05
cat__primary_genre_['west coast hip hop'],8.994903293785846e-05
cat__primary_genre_['trance'],8.757223854130582e-05
cat__primary_genre_['trip hop',8.577871148887639e-05
cat__primary_genre_['surf rock'],8.263795643689972e-05
cat__primary_genre_['reggaeton chileno'],8.182350703855733e-05
cat__primary_genre_['hyperpop'],8.179541058230843e-05
cat__primary_genre_['slowcore',8.127713057633188e-05
